Step,Action,Price,Position,Momentum,Reward,CumulativeReward,Q_HOLD,Q_BUY,Q_SELL
0,BUY,104.198,1,-4.56203,1.57402,1.57402,31.8164,33.9434,29.4811
1,SELL,105.268,-1,1.06997,4.45784,6.03185,31.9406,27.6561,36.699
2,BUY,109.217,1,3.94924,0.964702,6.99656,31.9523,33.5223,30.2616
3,BUY,111.824,1,2.60688,3.94924,10.9458,31.7796,36.2327,26.8846
4,BUY,110.977,1,-0.84626,2.60688,13.5527,31.6948,34.7207,28.3689
5,SELL,112.65,-1,1.67307,0.735283,14.288,31.7197,31.1777,32.3231
6,BUY,113.604,1,0.953285,1.56042,15.8484,31.7156,33.8101,29.4421
7,BUY,109.937,1,-3.66717,0.953285,16.8017,31.6362,32.9226,30.2223
8,SELL,113.322,-1,3.38507,3.55723,20.3589,31.7561,28.319,35.5735
9,BUY,110.073,1,-3.24888,3.27175,23.6306,31.6931,35.5429,27.4706
10,SELL,111.94,-1,1.86761,3.13881,26.7695,31.7512,28.7437,35.0919
11,BUY,111.833,1,-0.106995,1.75567,28.5251,31.7382,34.0425,29.2318
12,BUY,113.779,1,1.94542,-0.106995,28.4181,31.6918,31.9012,31.4615
13,BUY,121.006,1,7.22731,1.94542,30.3635,31.6316,33.9454,29.0886
14,BUY,117.796,1,-3.20998,7.22731,37.5909,31.4058,39.1071,22.9438
15,SELL,117.884,-1,0.0875549,3.09219,40.683,31.5042,28.4356,34.9126
16,BUY,117.417,1,-0.466911,-0.0303287,40.6527,31.5489,31.9409,31.1655
17,SELL,115.773,-1,-1.6439,0.349495,41.0022,31.5133,31.2781,31.7761
18,SELL,112.816,-1,-2.95703,1.6439,42.6461,31.6173,30.2529,33.1846
19,SELL,114.304,-1,1.48823,2.95703,45.6031,31.7127,29.0342,34.7397
20,BUY,113.682,1,-0.622536,1.37392,46.9771,31.6627,33.545,29.6247
21,SELL,112.592,-1,-1.08942,0.508854,47.4859,31.633,31.2862,32.0196
22,SELL,111.901,-1,-0.690628,1.08942,48.5753,31.7189,30.9676,32.6054
23,SELL,111.911,-1,0.00971222,0.690628,49.266,31.7408,31.4096,32.161
24,BUY,113.419,1,1.50771,-0.102199,49.1638,31.7402,32.1304,31.3591
25,BUY,108.166,1,-5.25266,1.50771,50.6715,31.6427,33.5069,29.5937
26,SELL,112.174,-1,4.00759,5.1445,55.816,31.8147,26.7666,37.4209
27,BUY,105.89,1,-6.28377,3.89542,59.7114,31.7295,36.2358,26.778
28,SELL,105.803,-1,-0.087532,6.17788,65.8893,31.8917,25.8145,38.6391
29,BUY,107.427,1,1.62444,-0.193335,65.6959,31.9358,32.3061,31.5772
30,BUY,111.814,1,4.38695,1.62444,67.3204,31.8345,33.8982,29.565
31,BUY,115.783,1,3.96869,4.38695,71.7073,31.697,36.5704,26.3406
32,BUY,115.651,1,-0.131538,3.96869,75.676,31.5696,35.9571,26.7481
33,BUY,113.342,1,-2.3093,-0.131538,75.5445,31.5696,31.7035,31.4229
34,SELL,113.001,-1,-0.341042,2.19596,77.7404,31.6457,29.5641,33.9583
35,SELL,116.431,-1,3.42988,0.341042,78.0815,31.7055,31.72,31.7415
36,BUY,116.158,1,-0.272865,3.31345,81.3949,31.5936,35.4486,27.3649
37,SELL,116.206,-1,0.0487366,0.156708,81.5516,31.5535,31.5349,31.5759
38,BUY,117.22,1,1.01337,-0.0674699,81.4842,31.6026,31.9766,31.2393
39,BUY,116.333,1,-0.886696,1.01337,82.4975,31.5206,32.8221,30.0908
40,SELL,115.008,-1,-1.32519,0.770363,83.2679,31.5484,30.8946,32.276
41,SELL,115.602,-1,0.594391,1.32519,84.5931,31.6417,30.6157,32.8331
42,BUY,114.336,1,-1.26674,0.478789,85.0719,31.6217,32.5659,30.6252
43,SELL,110.935,-1,-3.40063,1.1524,86.2243,31.6127,30.5932,32.7464
44,SELL,112.221,-1,1.2862,3.40063,89.6249,31.7733,28.6625,35.2805
45,BUY,113.059,1,0.837975,1.17398,90.7989,31.7295,33.431,29.8924
46,BUY,113.605,1,0.545662,0.837975,91.6369,31.6535,32.8274,30.3631
47,BUY,116.002,1,2.39703,0.545662,92.1825,31.6357,32.4991,30.6867
48,BUY,119.578,1,3.57602,2.39703,94.5796,31.5609,34.3144,28.5353
49,BUY,119.929,1,0.350807,3.57602,98.1556,31.4477,35.3782,27.1295
50,BUY,119.792,1,-0.136429,0.350807,98.5064,31.4332,32.0117,30.7987
51,BUY,119.12,1,-0.672348,-0.136429,98.37,31.4371,31.5117,31.3563
52,SELL,120.582,-1,1.46161,0.553228,98.9232,31.4591,30.9897,31.9818
53,BUY,121.195,1,0.613861,1.34103,100.264,31.4618,33.2341,29.5454
54,BUY,118.662,1,-2.53342,0.613861,100.878,31.393,32.228,30.4768
55,SELL,120.085,-1,1.42261,2.41475,103.293,31.4758,29.0934,34.1223
56,BUY,119.276,1,-0.808739,1.30252,104.595,31.4777,33.2164,29.5988
57,SELL,118.662,-1,-0.613869,0.689463,105.285,31.4542,30.8422,32.1354
58,SELL,124.606,-1,5.94381,0.613869,105.899,31.5243,31.1833,31.9549
59,BUY,124.538,1,-0.068222,5.8192,111.718,31.3304,37.6685,24.3442
60,BUY,125.405,1,0.867233,-0.068222,111.65,31.2854,31.3689,31.196
61,BUY,123.417,1,-1.98777,0.867233,112.517,31.2585,32.3015,30.1148
62,SELL,124.947,-1,1.5298,1.86435,114.381,31.3231,29.441,33.4141
63,BUY,128.503,1,3.55654,1.40485,115.786,31.322,33.1072,29.391
64,BUY,127.607,1,-0.896423,3.55654,119.343,31.1622,34.9558,26.9963
65,SELL,128.591,-1,0.984116,0.768816,120.111,31.1879,30.3762,32.0905
66,BUY,133.19,1,4.59915,0.855525,120.967,31.2056,32.3807,29.952
67,BUY,131.417,1,-1.77339,4.59915,125.566,31.0133,35.8278,25.7265
68,SELL,130.296,-1,-1.12056,1.64197,127.208,31.067,29.3011,33.0289
69,SELL,129.293,-1,-1.00366,1.12056,128.329,31.152,30.136,32.3315
70,SELL,126.097,-1,-3.196,1.00366,129.332,31.1841,30.3017,32.2152
71,SELL,127.656,-1,1.55907,3.196,132.528,31.288,28.1892,34.7815
72,BUY,123.359,1,-4.29711,1.43141,133.96,31.2352,33.0151,29.3102
73,SELL,127.568,-1,4.20943,4.17375,138.133,31.3275,27.065,36.0612
74,BUY,128.669,1,1.10102,4.08186,142.215,31.2365,35.7485,26.2778
75,BUY,125.678,1,-2.99139,1.10102,143.316,31.1543,32.3973,29.7916
76,SELL,125.502,-1,-0.175385,2.86571,146.182,31.2519,28.3054,34.5246
77,SELL,127.539,-1,2.03648,0.175385,146.357,31.3051,31.326,31.3333
78,BUY,125.609,1,-1.9293,1.90894,148.266,31.2387,33.512,28.7657
79,SELL,123.885,-1,-1.72466,1.80369,150.07,31.2529,29.4024,33.3089
80,SELL,124.557,-1,0.672333,1.72466,151.795,31.3576,29.8034,33.1352
81,BUY,128.65,1,4.09245,0.547776,152.343,31.3349,32.2418,30.3794
82,BUY,133.366,1,4.71605,4.09245,156.435,31.158,35.506,26.383
83,BUY,135.509,1,2.14368,4.71605,161.151,31.0078,35.9413,25.5903
84,BUY,139.261,1,3.75143,2.14368,163.295,30.9366,33.1723,28.4843
85,BUY,139.495,1,0.233871,3.75143,167.046,30.8182,34.6736,26.5868
86,BUY,138.423,1,-1.07182,0.233871,167.28,30.8075,31.0094,30.5916
87,SELL,133.58,-1,-4.84282,0.9334,168.213,30.8421,29.7079,32.1028
88,SELL,128.581,-1,-4.9986,4.84282,173.056,31.05,26.1568,36.5368
89,SELL,130.705,-1,2.12419,4.9986,178.055,31.2102,26.2223,36.8023
90,BUY,131.534,1,0.828217,1.99349,180.048,31.1373,33.4593,28.6099
91,BUY,130.511,1,-1.02312,0.828217,180.877,31.0624,31.9848,30.0525
92,SELL,133.872,-1,3.36166,0.892606,181.769,31.0951,30.1148,32.185
93,BUY,133.458,1,-0.414734,3.22779,184.997,31.0352,34.5908,27.138
94,SELL,133.604,-1,0.146393,0.281276,185.278,31.0002,30.6085,31.4365
95,BUY,132.726,1,-0.878296,0.0127889,185.291,31.0455,31.2916,30.8233
96,SELL,132.121,-1,-0.60498,0.74557,186.037,31.0241,30.1641,31.9805
97,SELL,131.867,-1,-0.253754,0.60498,186.642,31.0934,30.5846,31.7094
98,SELL,132.101,-1,0.234177,0.253754,186.895,31.1013,30.9579,31.3117
99,BUY,129.974,1,-2.12733,0.102076,186.997,31.0936,31.4498,30.7491
