Episode,TotalReward,Epsilon
0,-15.0633,0.995
1,-31.1842,0.990025
2,-27.9782,0.985075
3,24.3321,0.98015
4,-17.0849,0.975249
5,2.10811,0.970373
6,-0.217405,0.965521
7,-4.56853,0.960693
8,-12.2067,0.95589
9,44.0321,0.95111
10,-59.332,0.946355
11,11.4408,0.941623
12,20.7074,0.936915
13,-19.6674,0.93223
14,-9.35893,0.927569
15,-6.15102,0.922931
16,-9.15875,0.918316
17,27.6357,0.913725
18,28.5521,0.909156
19,-16.6396,0.90461
20,1.69864,0.900087
21,1.49895,0.895587
22,-30.6688,0.891109
23,-32.7005,0.886654
24,-10.7585,0.88222
25,-44.6845,0.877809
26,27.8582,0.87342
27,-15.0485,0.869053
28,-42.827,0.864708
29,6.87752,0.860384
30,12.557,0.856082
31,44.9156,0.851802
32,-33.758,0.847543
33,15.4698,0.843305
34,12.2298,0.839089
35,55.6629,0.834893
36,-10.5758,0.830719
37,4.17234,0.826565
38,-11.7594,0.822432
39,17.2648,0.81832
40,21.5161,0.814229
41,16.2006,0.810157
42,-59.3539,0.806107
43,-65.1303,0.802076
44,-36.3561,0.798066
45,-5.92919,0.794075
46,-14.5458,0.790105
47,9.2788,0.786154
48,-21.8123,0.782224
49,-76.0498,0.778313
50,-6.88774,0.774421
51,20.9325,0.770549
52,15.7669,0.766696
53,-29.2804,0.762863
54,8.14233,0.759048
55,19.2136,0.755253
56,16.2132,0.751477
57,-12.6088,0.747719
58,28.6854,0.743981
59,-15.728,0.740261
60,-20.6956,0.73656
61,9.11529,0.732877
62,11.6608,0.729212
63,-0.628538,0.725566
64,15.9827,0.721939
65,-7.7965,0.718329
66,2.43341,0.714737
67,3.97594,0.711164
68,16.9688,0.707608
69,8.74594,0.70407
70,14.5144,0.700549
71,-15.1101,0.697047
72,-6.80964,0.693561
73,7.93277,0.690094
74,-45.372,0.686643
75,18.6984,0.68321
76,19.1324,0.679794
77,-11.3564,0.676395
78,-20.4179,0.673013
79,-31.6812,0.669648
80,20.5989,0.6663
81,23.848,0.662968
82,-4.03013,0.659653
83,17.2524,0.656355
84,-17.7193,0.653073
85,39.3676,0.649808
86,15.3655,0.646559
87,8.2948,0.643326
88,11.805,0.640109
89,0.779819,0.636909
90,-15.1599,0.633724
91,-8.96973,0.630556
92,28.5164,0.627403
93,28.3639,0.624266
94,-6.10398,0.621145
95,32.4312,0.618039
96,53.8816,0.614949
97,23.3752,0.611874
98,39.6261,0.608815
99,41.1327,0.60577
100,58.8597,0.602742
101,44.8595,0.599728
102,59.9663,0.596729
103,95.4854,0.593746
104,50.1115,0.590777
105,34.6994,0.587823
106,82.0431,0.584884
107,103.858,0.581959
108,127.097,0.57905
109,67.7596,0.576154
110,99.76,0.573274
111,89.0158,0.570407
112,59.4625,0.567555
113,102.594,0.564717
114,83.5724,0.561894
115,99.5904,0.559084
116,118.819,0.556289
117,124.852,0.553508
118,62.3227,0.55074
119,138.143,0.547986
120,70.2493,0.545246
121,112.914,0.54252
122,124.783,0.539808
123,129.346,0.537108
124,99.2695,0.534423
125,69.6457,0.531751
126,159.929,0.529092
127,112.58,0.526447
128,112.645,0.523814
129,105.877,0.521195
130,148.369,0.518589
131,91.9599,0.515996
132,146.42,0.513416
133,133.235,0.510849
134,148.506,0.508295
135,113.586,0.505754
136,189.626,0.503225
137,159.234,0.500709
138,155.882,0.498205
139,193.639,0.495714
140,169.075,0.493236
141,147.604,0.490769
142,174.608,0.488316
143,149.578,0.485874
144,152.997,0.483445
145,164.089,0.481027
146,204.231,0.478622
147,146.416,0.476229
148,154.785,0.473848
149,151.137,0.471479
150,176.461,0.469121
151,203.374,0.466776
152,183.492,0.464442
153,183.197,0.46212
154,164.432,0.459809
155,189.477,0.45751
156,160.372,0.455222
157,161.865,0.452946
158,151.135,0.450682
159,152.891,0.448428
160,218.459,0.446186
161,158.897,0.443955
162,157.212,0.441735
163,186.703,0.439527
164,167.44,0.437329
165,188.508,0.435142
166,156.084,0.432967
167,185.633,0.430802
168,203.573,0.428648
169,177.391,0.426505
170,205.089,0.424372
171,208.547,0.42225
172,199.637,0.420139
173,138.94,0.418038
174,205.419,0.415948
175,185.982,0.413868
176,183.474,0.411799
177,196.028,0.40974
178,189.206,0.407691
179,166.978,0.405653
180,214.612,0.403625
181,182.717,0.401606
182,196.336,0.399598
183,188.366,0.3976
