Step,Action,Price,Position,Reward
0,BUY,100.086,1,0.0858
1,BUY,100.338,1,0.2522
2,BUY,100.601,1,0.2634
3,BUY,100.886,1,0.2842
4,BUY,101.259,1,0.3734
5,BUY,101.344,1,0.085
6,BUY,101.531,1,0.1868
7,BUY,101.601,1,0.0698
8,BUY,101.682,1,0.0812
9,BUY,101.847,1,0.1652
10,BUY,102.132,1,0.2854
11,BUY,102.437,1,0.3048
12,BUY,102.787,1,0.35
13,BUY,103.088,1,0.301
14,BUY,103.209,1,0.1212
15,BUY,103.267,1,0.058
16,BUY,103.388,1,0.1206
17,BUY,103.73,1,0.3422
18,BUY,103.783,1,0.0524
19,BUY,103.905,1,0.1222
20,BUY,104.01,1,0.1056
21,BUY,104.072,1,0.062
22,BUY,104.416,1,0.3432
23,BUY,104.577,1,0.1618
24,BUY,104.731,1,0.1534
25,BUY,104.792,1,0.0616
26,BUY,104.877,1,0.0846
27,BUY,105.233,1,0.3564
28,BUY,105.277,1,0.0432
29,BUY,105.651,1,0.3742
30,BUY,105.789,1,0.138
31,BUY,106.05,1,0.2614
32,BUY,106.372,1,0.3218
33,BUY,106.422,1,0.0504
34,BUY,106.776,1,0.3538
35,BUY,106.917,1,0.141
36,BUY,107.085,1,0.1678
37,BUY,107.393,1,0.308
38,BUY,107.534,1,0.141
39,BUY,107.743,1,0.209
40,BUY,107.889,1,0.1458
41,BUY,108.155,1,0.2658
42,BUY,108.537,1,0.3826
43,BUY,108.811,1,0.2742
44,BUY,108.894,1,0.0826
45,BUY,109.249,1,0.355
46,BUY,109.47,1,0.2206
47,BUY,109.545,1,0.0758
48,BUY,109.828,1,0.2828
49,BUY,109.951,1,0.1226
